Year,Extroversion,Number of textees,Hours of sleep,Handedness,Pant leg,Sleep position
Second,8,6,6,Right-handed,Right leg in first,On your left side
Second,3,3,6,Right-handed,I don't know,On your right side
Second,6,5,6,Right-handed,I don't know,On your right side
Second,8,4,6,Right-handed,I don't know,On your right side
Second,8,6,6,Right-handed,I don't know,On your right side
Second,3,10,6,Right-handed,Left leg in first,On your right side
Second,4,3,6,Right-handed,Left leg in first,On your right side
Second,4,3,6,Right-handed,Left leg in first,On your right side
Second,4,12,6,Right-handed,Left leg in first,On your right side
Second,6,3,6,Right-handed,Left leg in first,On your right side
Second,7,10,6,Right-handed,Left leg in first,On your right side
Second,8,8,6,Right-handed,Left leg in first,On your right side
Second,1,2,6,Right-handed,Right leg in first,On your right side
Second,3,4,6,Left-handed,Right leg in first,On your right side
Second,3,7,6,Right-handed,Right leg in first,On your right side
Second,3,10,6,Right-handed,Right leg in first,On your right side
Second,4,5,6,Right-handed,Right leg in first,On your right side
Second,5,2,6,Right-handed,Right leg in first,On your right side
Second,5,4,6,Right-handed,Right leg in first,On your right side
Second,5,7,6,Right-handed,Right leg in first,On your right side
Second,6,12,6,Right-handed,Right leg in first,On your right side
Second,7,3,6,Right-handed,Right leg in first,On your right side
Second,7,5,6,Right-handed,Right leg in first,On your right side
Second,7,10,6,Right-handed,Right leg in first,On your right side
Second,7,10,6,Right-handed,Right leg in first,On your right side
Second,8,3,6,Right-handed,Right leg in first,On your right side
Second,8,4,6,Right-handed,Right leg in first,On your right side
Second,8,4,6,Right-handed,Right leg in first,On your right side
Second,8,7,6,Right-handed,Right leg in first,On your right side
Second,9,6,6,Right-handed,Right leg in first,On your right side
Second,9,7,6,Right-handed,Right leg in first,On your right side
Second,10,5,6,Right-handed,Right leg in first,On your right side
Second,3,4,6,Right-handed,I don't know,On your stomach
Second,5,3,6,Right-handed,I don't know,On your stomach
Second,5,15,6,Right-handed,I don't know,On your stomach
Second,6,2,6,Right-handed,I don't know,On your stomach
Second,8,2,6,Right-handed,I don't know,On your stomach
Second,10,31,6,Right-handed,I don't know,On your stomach
Second,3,2,6,Right-handed,Left leg in first,On your stomach
Second,3,3,6,Right-handed,Left leg in first,On your stomach
Second,5,2,6,Right-handed,Left leg in first,On your stomach
Second,7,2,6,Right-handed,Left leg in first,On your stomach
Second,8,3,6,Right-handed,Left leg in first,On your stomach
Second,3,4,6,Right-handed,Right leg in first,On your stomach
Second,3,15,6,Right-handed,Right leg in first,On your stomach
Second,4,2,6,Right-handed,Right leg in first,On your stomach
Second,4,4,6,Right-handed,Right leg in first,On your stomach
Second,10,10,6,Right-handed,Right leg in first,On your stomach
Third,6,4,6,Right-handed,I don't know,On your back
Third,8,10,6,Left-handed,I don't know,On your back
Third,8,10,6,Right-handed,Left leg in first,On your back
Third,2,1,6,Right-handed,Right leg in first,On your back
Third,5,3,6,Right-handed,Right leg in first,On your back
Third,6,3,6,Right-handed,Right leg in first,On your back
Third,4,1,6,Right-handed,Left leg in first,On your left side
Third,4,6,6,Left-handed,Left leg in first,On your left side
Third,6,4,6,Right-handed,Left leg in first,On your left side
Third,6,5,6,Right-handed,Left leg in first,On your left side
Third,7,5,6,Right-handed,Left leg in first,On your left side
Third,8,4,6,Right-handed,Left leg in first,On your left side
Third,4,3,6,Right-handed,Right leg in first,On your left side
Third,6,0,6,Right-handed,Right leg in first,On your left side
Third,8,5,6,Left-handed,Right leg in first,On your left side
Third,9,5,6,Right-handed,Right leg in first,On your left side
Third,7,7,6,Right-handed,I don't know,On your right side
Third,8,15,6,Right-handed,I don't know,On your right side
Third,4,6,6,Right-handed,Left leg in first,On your right side
Third,6,4,6,Right-handed,Left leg in first,On your right side
Third,7,15,6,Left-handed,Left leg in first,On your right side
